date_created,message
2019-11-06 04:00:21,California #artist Danielle Nelisse paints #abstract landscape #paintings of #daniellenelisse #wildfires | thank yo… https://t.co/SZgfT1Yw25
2019-11-06 03:58:48,Many low income people lost their homes in Baja California. Goal here is to collect money to buy material so we can… https://t.co/myI6Fy2pI7
2019-11-06 03:58:37,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 03:57:50,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 03:54:22,"Yikes
https://t.co/gs4D0VP4HH #wildfires #Africa"
2019-11-06 03:54:08,RT @chooselovetoday: Community #Poll RE-TWEET #TheTruthCommunity #truthers #truth #WildFires #DirectedEnergyWeapons #HAARP #WeatherModifica…
2019-11-06 03:52:37,RT @3MSafety: Many people are exposed to smoke and ash from #wildfires and want to use an N95 particulate respirator to help protect themse…
2019-11-06 03:37:19,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 03:33:25,"RT @Siemens_Energy: #Wildfires are intensifying globally. To prevent fires caused by power line failures, @PowercorAust and we came up with…"
2019-11-06 03:28:13,@SDSUGeography I definitely recommend watching the whole video - only 25 minutes and some great insights from the f… https://t.co/9kCVqUDPh6
2019-11-06 03:25:28,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 03:17:59,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 03:13:42,Better not open the Lion Gate tonight to find subjects in Guy Fawkes masks lighting bonfires.  Don't you know the h… https://t.co/f6NjjiWa9d
2019-11-06 03:11:14,"@RobertJohnDavi Fires are a result of stupidity. Trump said so, repeating common wisdom that you don't leave fire t… https://t.co/FIA5gKKMOh"
2019-11-06 03:09:40,"RT @Siemens_Energy: #Wildfires are intensifying globally. To prevent fires caused by power line failures, @PowercorAust and we came up with…"
